Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,MRP_Level,Outlet_age,Item_Rating,Item_Type_Combined,Item_Outlet_Category
9.3,Low Fat,0.016047301,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,14.9519633384,Very High,14,9.65297626818,Food,FoodSupermarket Type1
5.92,Regular,0.019278216,48.2692,OUT018,Medium,Tier 3,Supermarket Type2,9.18645430212,Low,4,7.82597251115,Drinks,DrinksSupermarket Type2
17.5,Low Fat,0.016760075,141.618,OUT049,Medium,Tier 1,Supermarket Type1,14.8093462695,High,14,9.04200734089,Food,FoodSupermarket Type1
19.2,Regular,0.0178343378889,182.095,OUT010,Small,Tier 3,Grocery Store,4.02196655592,High,15,9.23125604898,Food,FoodGrocery Store
8.93,No Fat,0.00977982855556,53.8614,OUT013,High,Tier 3,Supermarket Type1,18.4678675267,Low,26,8.61402896305,Non-Consumable,Non-ConsumableSupermarket Type1
10.395,Regular,0.057058688875,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,10.828796439,Low,4,6.80443810628,Food,FoodSupermarket Type2
13.65,Regular,0.012741089,57.6588,OUT013,High,Tier 3,Supermarket Type1,5.95837582468,Low,26,8.4176869835,Food,FoodSupermarket Type1
19.0,Low Fat,0.127469857,107.7622,OUT027,Medium,Tier 3,Supermarket Type3,37.3300062545,Medium,28,6.74098448758,Food,FoodSupermarket Type3
16.2,Regular,0.016687114,96.9726,OUT045,Small,Tier 2,Supermarket Type1,11.1020906937,Medium,11,8.66771900446,Food,FoodSupermarket Type1
19.2,Regular,0.09444959,187.8214,OUT017,Small,Tier 2,Supermarket Type1,25.079863104,High,6,7.59568328002,Food,FoodSupermarket Type1
11.8,Low Fat,0.0406265244444,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,33.2898537995,Low,14,7.02282127139,Food,FoodSupermarket Type1
18.5,Regular,0.045463773,144.1102,OUT046,Small,Tier 1,Supermarket Type1,15.176947919,High,16,8.0617331821,Food,FoodSupermarket Type1
15.1,Regular,0.1000135,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,10.9243875044,High,14,7.28316634178,Food,FoodSupermarket Type1
17.6,Regular,0.047257328,119.6782,OUT046,Small,Tier 1,Supermarket Type1,17.9247983342,Medium,16,7.83734881316,Food,FoodSupermarket Type1
16.35,Low Fat,0.0680243,196.4426,OUT013,High,Tier 3,Supermarket Type1,10.0661770919,High,26,7.96860678223,Food,FoodSupermarket Type1
9.0,Regular,0.069088961,56.3614,OUT046,Small,Tier 1,Supermarket Type1,27.4535267044,Low,16,6.70536991181,Food,FoodSupermarket Type1
11.8,No Fat,0.008596051,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,14.060685293,Medium,4,9.50449093561,Non-Consumable,Non-ConsumableSupermarket Type2
9.0,Regular,0.069196376,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,13.2152262451,Low,14,6.66773321681,Food,FoodSupermarket Type1
8.26,Low Fat,0.034237682,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,20.3354419094,Medium,28,8.10462325691,Drinks,DrinksSupermarket Type3
13.35,Low Fat,0.10249212,230.5352,OUT035,Small,Tier 2,Supermarket Type1,11.9219208173,Very High,9,7.71881740827,Food,FoodSupermarket Type1
18.85,Regular,0.138190277,250.8724,OUT013,High,Tier 3,Supermarket Type1,15.0478330817,Very High,26,7.50461885526,Food,FoodSupermarket Type1
8.315,Regular,0.035399923,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,28.116227263,High,28,8.31487723771,Food,FoodSupermarket Type3
14.6,No Fat,0.025698134,196.5084,OUT035,Small,Tier 2,Supermarket Type1,8.07735038299,High,9,8.94217284038,Non-Consumable,Non-ConsumableSupermarket Type1
15.5,Low Fat,0.057556998,107.6938,OUT019,Small,Tier 1,Grocery Store,1.99071441439,Medium,28,7.53480587545,Food,FoodGrocery Store
13.85,Regular,0.025896485,165.021,OUT046,Small,Tier 1,Supermarket Type1,24.7121578466,High,16,8.75987768841,Food,FoodSupermarket Type1
13.0,No Fat,0.099887103,45.906,OUT017,Small,Tier 2,Supermarket Type1,18.274473925,Low,6,6.13248406956,Non-Consumable,Non-ConsumableSupermarket Type1
7.645,Regular,0.066693437,42.3112,OUT035,Small,Tier 2,Supermarket Type1,25.177258031,Low,9,6.45427557177,Food,FoodSupermarket Type1
11.65,Low Fat,0.019356132,39.1164,OUT013,High,Tier 3,Supermarket Type1,7.89774110092,Low,26,7.61178253867,Drinks,DrinksSupermarket Type1
5.925,Regular,0.161466534,45.5086,OUT010,Small,Tier 3,Grocery Store,3.92089407277,Low,15,5.64490046165,Food,FoodGrocery Store
14.5,Regular,0.072221801,43.6454,OUT019,Small,Tier 1,Grocery Store,2.88314919785,Low,28,6.40576459145,Food,FoodGrocery Store
19.25,Low Fat,0.170348551,55.7956,OUT010,Small,Tier 3,Grocery Store,2.93547878327,Low,15,5.79465208513,Food,FoodGrocery Store
18.6,No Fat,0.080829372,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,28.4286816336,Medium,4,7.08521099508,Non-Consumable,Non-ConsumableSupermarket Type2
